YEAR,DAY,HR,RAD_AU,SE_LAT,SE_LON
2023,1,0,0.9830,-0.009,100.297
2023,1,1,0.9830,-0.009,100.340
2023,1,2,0.9830,-0.009,100.382
2023,1,3,0.9830,-0.009,100.425
2023,1,4,0.9830,-0.009,100.467
2023,1,5,0.9830,-0.009,100.510
2023,1,6,0.9830,-0.009,100.552
2023,1,7,0.9830,-0.009,100.594
2023,1,8,0.9830,-0.009,100.637
2023,1,9,0.9830,-0.009,100.679
2023,1,10,0.9830,-0.009,100.722
2023,1,11,0.9830,-0.009,100.764
2023,1,12,0.9830,-0.009,100.807
2023,1,13,0.9830,-0.009,100.849
2023,1,14,0.9830,-0.009,100.892
2023,1,15,0.9830,-0.009,100.934
2023,1,16,0.9830,-0.009,100.977
2023,1,17,0.9830,-0.009,101.019
2023,1,18,0.9830,-0.009,101.062
2023,1,19,0.9830,-0.009,101.104
2023,1,20,0.9830,-0.009,101.147
2023,1,21,0.9830,-0.009,101.189
2023,1,22,0.9830,-0.009,101.231
2023,1,23,0.9830,-0.009,101.274
2023,2,0,0.9830,-0.009,101.316
2023,2,1,0.9830,-0.009,101.359
2023,2,2,0.9830,-0.009,101.401
2023,2,3,0.9830,-0.009,101.444
2023,2,4,0.9830,-0.009,101.486
2023,2,5,0.9830,-0.009,101.529
2023,2,6,0.9830,-0.009,101.571
2023,2,7,0.9830,-0.009,101.614
2023,2,8,0.9830,-0.009,101.656
2023,2,9,0.9830,-0.009,101.699
2023,2,10,0.9830,-0.009,101.741
2023,2,11,0.9830,-0.009,101.784
2023,2,12,0.9830,-0.009,101.826
2023,2,13,0.9830,-0.009,101.869
2023,2,14,0.9830,-0.009,101.911
2023,2,15,0.9830,-0.009,101.953
2023,2,16,0.9830,-0.009,101.996
2023,2,17,0.9830,-0.009,102.038
2023,2,18,0.9830,-0.009,102.081
2023,2,19,0.9830,-0.009,102.123
2023,2,20,0.9830,-0.009,102.166
2023,2,21,0.9830,-0.009,102.208
2023,2,22,0.9830,-0.009,102.251
2023,2,23,0.9830,-0.009,102.293
2023,3,0,0.9830,-0.009,102.336
2023,3,1,0.9830,-0.009,102.378
2023,3,2,0.9830,-0.009,102.421
2023,3,3,0.9830,-0.009,102.463
2023,3,4,0.9830,-0.009,102.506
2023,3,5,0.9830,-0.009,102.548
2023,3,6,0.9830,-0.009,102.590
2023,3,7,0.9830,-0.009,102.633
2023,3,8,0.9830,-0.009,102.675
2023,3,9,0.9830,-0.009,102.718
2023,3,10,0.9830,-0.009,102.760
2023,3,11,0.9830,-0.009,102.803
2023,3,12,0.9830,-0.009,102.845
2023,3,13,0.9830,-0.009,102.888
2023,3,14,0.9830,-0.009,102.930
2023,3,15,0.9830,-0.009,102.973
2023,3,16,0.9830,-0.009,103.015
2023,3,17,0.9830,-0.009,103.058
2023,3,18,0.9830,-0.009,103.100
2023,3,19,0.9830,-0.009,103.143
2023,3,20,0.9830,-0.009,103.185
2023,3,21,0.9830,-0.009,103.227
2023,3,22,0.9830,-0.009,103.270
2023,3,23,0.9830,-0.009,103.312
2023,4,0,0.9830,-0.009,103.355
2023,4,1,0.9830,-0.009,103.397
2023,4,2,0.9830,-0.009,103.440
2023,4,3,0.9830,-0.009,103.482
2023,4,4,0.9830,-0.009,103.525
2023,4,5,0.9830,-0.009,103.567
2023,4,6,0.9830,-0.009,103.610
2023,4,7,0.9830,-0.009,103.652
2023,4,8,0.9830,-0.009,103.695
2023,4,9,0.9830,-0.009,103.737
2023,4,10,0.9830,-0.009,103.779
2023,4,11,0.9830,-0.009,103.822
2023,4,12,0.9830,-0.009,103.864
2023,4,13,0.9830,-0.009,103.907
2023,4,14,0.9830,-0.009,103.949
2023,4,15,0.9830,-0.009,103.992
2023,4,16,0.9830,-0.009,104.034
2023,4,17,0.9830,-0.009,104.077
2023,4,18,0.9830,-0.009,104.119
2023,4,19,0.9830,-0.009,104.162
2023,4,20,0.9830,-0.009,104.204
2023,4,21,0.9830,-0.009,104.247
2023,4,22,0.9830,-0.009,104.289
2023,4,23,0.9830,-0.009,104.332
2023,5,0,0.9830,-0.009,104.374
2023,5,1,0.9830,-0.009,104.416
2023,5,2,0.9830,-0.009,104.459
2023,5,3,0.9830,-0.009,104.501
2023,5,4,0.9830,-0.009,104.544
2023,5,5,0.9830,-0.009,104.586
2023,5,6,0.9830,-0.009,104.629
2023,5,7,0.9830,-0.009,104.671
2023,5,8,0.9830,-0.009,104.714
2023,5,9,0.9830,-0.009,104.756
2023,5,10,0.9830,-0.009,104.799
2023,5,11,0.9830,-0.009,104.841
2023,5,12,0.9830,-0.009,104.884
2023,5,13,0.9830,-0.009,104.926
2023,5,14,0.9830,-0.009,104.968
2023,5,15,0.9830,-0.009,105.011
2023,5,16,0.9830,-0.009,105.053
2023,5,17,0.9830,-0.009,105.096
2023,5,18,0.9830,-0.009,105.138
2023,5,19,0.9830,-0.009,105.181
2023,5,20,0.9830,-0.009,105.223
2023,5,21,0.9830,-0.009,105.266
2023,5,22,0.9830,-0.009,105.308
2023,5,23,0.9830,-0.009,105.351
2023,6,0,0.9830,-0.009,105.393
2023,6,1,0.9830,-0.009,105.436
2023,6,2,0.9830,-0.009,105.478
2023,6,3,0.9830,-0.009,105.520
2023,6,4,0.9830,-0.009,105.563
2023,6,5,0.9830,-0.009,105.605
2023,6,6,0.9830,-0.009,105.648
2023,6,7,0.9830,-0.009,105.690
2023,6,8,0.9830,-0.009,105.733
2023,6,9,0.9830,-0.009,105.775
2023,6,10,0.9830,-0.009,105.818
2023,6,11,0.9830,-0.009,105.860
2023,6,12,0.9830,-0.009,105.903
2023,6,13,0.9830,-0.009,105.945
2023,6,14,0.9830,-0.009,105.988
2023,6,15,0.9830,-0.009,106.030
2023,6,16,0.9830,-0.009,106.072
2023,6,17,0.9830,-0.009,106.115
2023,6,18,0.9830,-0.009,106.157
2023,6,19,0.9830,-0.009,106.200
2023,6,20,0.9830,-0.009,106.242
2023,6,21,0.9830,-0.009,106.285
2023,6,22,0.9830,-0.009,106.327
2023,6,23,0.9830,-0.009,106.370
2023,7,0,0.9830,-0.009,106.412
2023,7,1,0.9830,-0.009,106.455
2023,7,2,0.9830,-0.009,106.497
2023,7,3,0.9830,-0.009,106.540
2023,7,4,0.9830,-0.009,106.582
2023,7,5,0.9830,-0.009,106.624
2023,7,6,0.9830,-0.009,106.667
2023,7,7,0.9830,-0.009,106.709
2023,7,8,0.9830,-0.009,106.752
2023,7,9,0.9830,-0.009,106.794
2023,7,10,0.9830,-0.009,106.837
2023,7,11,0.9830,-0.009,106.879
2023,7,12,0.9830,-0.009,106.922
2023,7,13,0.9830,-0.009,106.964
2023,7,14,0.9830,-0.009,107.007
2023,7,15,0.9830,-0.009,107.049
2023,7,16,0.9830,-0.009,107.091
2023,7,17,0.9830,-0.009,107.134
2023,7,18,0.9830,-0.009,107.176
2023,7,19,0.9830,-0.009,107.219
