YEAR,DAY,HR,RAD_AU,SE_LAT,SE_LON
2023,1,0,4.9509,-1.305,12.510
2023,1,1,4.9509,-1.305,12.514
2023,1,2,4.9509,-1.305,12.518
2023,1,3,4.9509,-1.305,12.522
2023,1,4,4.9509,-1.305,12.526
2023,1,5,4.9509,-1.305,12.529
2023,1,6,4.9509,-1.305,12.533
2023,1,7,4.9509,-1.305,12.537
2023,1,8,4.9509,-1.305,12.541
2023,1,9,4.9509,-1.305,12.545
2023,1,10,4.9509,-1.305,12.548
2023,1,11,4.9509,-1.305,12.552
2023,1,12,4.9509,-1.305,12.556
2023,1,13,4.9509,-1.305,12.560
2023,1,14,4.9509,-1.305,12.564
2023,1,15,4.9509,-1.305,12.568
2023,1,16,4.9509,-1.305,12.571
2023,1,17,4.9509,-1.305,12.575
2023,1,18,4.9509,-1.305,12.579
2023,1,19,4.9509,-1.305,12.583
2023,1,20,4.9509,-1.305,12.587
2023,1,21,4.9509,-1.305,12.590
2023,1,22,4.9509,-1.305,12.594
2023,1,23,4.9509,-1.305,12.598
2023,2,0,4.9509,-1.305,12.602
2023,2,1,4.9509,-1.305,12.606
2023,2,2,4.9509,-1.305,12.610
2023,2,3,4.9509,-1.305,12.613
2023,2,4,4.9509,-1.305,12.617
2023,2,5,4.9509,-1.305,12.621
2023,2,6,4.9509,-1.305,12.625
2023,2,7,4.9509,-1.305,12.629
2023,2,8,4.9509,-1.305,12.632
2023,2,9,4.9509,-1.305,12.636
2023,2,10,4.9509,-1.305,12.640
2023,2,11,4.9509,-1.305,12.644
2023,2,12,4.9509,-1.305,12.648
2023,2,13,4.9509,-1.305,12.652
2023,2,14,4.9509,-1.305,12.655
2023,2,15,4.9509,-1.305,12.659
2023,2,16,4.9509,-1.305,12.663
2023,2,17,4.9509,-1.305,12.667
2023,2,18,4.9509,-1.305,12.671
2023,2,19,4.9509,-1.305,12.674
2023,2,20,4.9509,-1.305,12.678
2023,2,21,4.9509,-1.305,12.682
2023,2,22,4.9509,-1.305,12.686
2023,2,23,4.9509,-1.305,12.690
2023,3,0,4.9509,-1.305,12.694
2023,3,1,4.9509,-1.305,12.697
2023,3,2,4.9509,-1.305,12.701
2023,3,3,4.9509,-1.305,12.705
2023,3,4,4.9509,-1.305,12.709
2023,3,5,4.9509,-1.305,12.713
2023,3,6,4.9509,-1.305,12.716
2023,3,7,4.9509,-1.305,12.720
2023,3,8,4.9509,-1.305,12.724
2023,3,9,4.9509,-1.305,12.728
2023,3,10,4.9509,-1.305,12.732
2023,3,11,4.9509,-1.305,12.736
2023,3,12,4.9509,-1.305,12.739
2023,3,13,4.9509,-1.305,12.743
