YEAR,DAY,HR,RAD_AU,SE_LAT,SE_LON
2023,1,0,1.5638,1.139,88.092
2023,1,1,1.5638,1.139,88.113
2023,1,2,1.5639,1.140,88.133
2023,1,3,1.5639,1.140,88.154
2023,1,4,1.5640,1.141,88.174
2023,1,5,1.5640,1.141,88.195
2023,1,6,1.5641,1.142,88.216
2023,1,7,1.5641,1.143,88.236
2023,1,8,1.5642,1.143,88.257
2023,1,9,1.5642,1.144,88.278
2023,1,10,1.5643,1.144,88.298
2023,1,11,1.5643,1.145,88.319
2023,1,12,1.5644,1.145,88.339
2023,1,13,1.5644,1.146,88.360
2023,1,14,1.5645,1.146,88.381
2023,1,15,1.5645,1.147,88.401
2023,1,16,1.5646,1.147,88.422
2023,1,17,1.5646,1.148,88.442
2023,1,18,1.5647,1.148,88.463
2023,1,19,1.5647,1.149,88.484
2023,1,20,1.5648,1.149,88.504
2023,1,21,1.5648,1.150,88.525
2023,1,22,1.5649,1.150,88.546
2023,1,23,1.5649,1.151,88.566
2023,2,0,1.5650,1.151,88.587
2023,2,1,1.5650,1.152,88.607
2023,2,2,1.5651,1.152,88.628
2023,2,3,1.5651,1.153,88.648
2023,2,4,1.5652,1.153,88.669
2023,2,5,1.5652,1.154,88.690
2023,2,6,1.5653,1.154,88.710
2023,2,7,1.5653,1.155,88.731
2023,2,8,1.5654,1.156,88.751
2023,2,9,1.5654,1.156,88.772
2023,2,10,1.5655,1.157,88.793
2023,2,11,1.5655,1.157,88.813
2023,2,12,1.5656,1.158,88.834
2023,2,13,1.5656,1.158,88.854
2023,2,14,1.5657,1.159,88.875
2023,2,15,1.5657,1.159,88.896
2023,2,16,1.5658,1.160,88.916
2023,2,17,1.5658,1.160,88.937
2023,2,18,1.5659,1.161,88.957
2023,2,19,1.5659,1.161,88.978
2023,2,20,1.5660,1.162,88.998
2023,2,21,1.5660,1.162,89.019
2023,2,22,1.5661,1.163,89.040
2023,2,23,1.5661,1.163,89.060
2023,3,0,1.5662,1.164,89.081
2023,3,1,1.5662,1.164,89.101
2023,3,2,1.5663,1.165,89.122
2023,3,3,1.5663,1.165,89.142
2023,3,4,1.5664,1.166,89.163
2023,3,5,1.5664,1.166,89.183
2023,3,6,1.5665,1.167,89.204
2023,3,7,1.5665,1.167,89.225
2023,3,8,1.5666,1.168,89.245
2023,3,9,1.5666,1.168,89.266
2023,3,10,1.5667,1.169,89.286
2023,3,11,1.5667,1.169,89.307
2023,3,12,1.5668,1.170,89.327
2023,3,13,1.5668,1.170,89.348
2023,3,14,1.5669,1.171,89.368
2023,3,15,1.5669,1.171,89.389
2023,3,16,1.5670,1.172,89.410
2023,3,17,1.5670,1.172,89.430
2023,3,18,1.5671,1.173,89.451
2023,3,19,1.5671,1.173,89.471
2023,3,20,1.5672,1.174,89.492
2023,3,21,1.5672,1.175,89.512
2023,3,22,1.5673,1.175,89.533
2023,3,23,1.5673,1.176,89.553
2023,4,0,1.5674,1.176,89.574
2023,4,1,1.5674,1.177,89.594
2023,4,2,1.5675,1.177,89.615
2023,4,3,1.5675,1.178,89.635
2023,4,4,1.5676,1.178,89.656
2023,4,5,1.5676,1.179,89.677
2023,4,6,1.5677,1.179,89.697
2023,4,7,1.5677,1.180,89.718
2023,4,8,1.5678,1.180,89.738
2023,4,9,1.5678,1.181,89.759
2023,4,10,1.5679,1.181,89.779
2023,4,11,1.5679,1.182,89.800
2023,4,12,1.5680,1.182,89.820
2023,4,13,1.5680,1.183,89.841
2023,4,14,1.5681,1.183,89.861
2023,4,15,1.5681,1.184,89.882
2023,4,16,1.5682,1.184,89.902
2023,4,17,1.5682,1.185,89.923
2023,4,18,1.5683,1.185,89.943
2023,4,19,1.5683,1.186,89.964
2023,4,20,1.5684,1.186,89.984
2023,4,21,1.5684,1.187,90.005
2023,4,22,1.5685,1.187,90.025
2023,4,23,1.5685,1.188,90.046
2023,5,0,1.5686,1.188,90.066
2023,5,1,1.5686,1.189,90.087
2023,5,2,1.5687,1.189,90.107
2023,5,3,1.5687,1.190,90.128
2023,5,4,1.5688,1.190,90.148
2023,5,5,1.5688,1.191,90.169
2023,5,6,1.5689,1.191,90.189
2023,5,7,1.5689,1.192,90.210
2023,5,8,1.5690,1.192,90.230
2023,5,9,1.5690,1.193,90.251
2023,5,10,1.5691,1.193,90.271
2023,5,11,1.5691,1.194,90.292
2023,5,12,1.5692,1.194,90.312
2023,5,13,1.5692,1.195,90.333
2023,5,14,1.5693,1.195,90.353
2023,5,15,1.5693,1.196,90.374
2023,5,16,1.5694,1.196,90.394
2023,5,17,1.5694,1.197,90.415
2023,5,18,1.5695,1.197,90.435
2023,5,19,1.5695,1.198,90.456
2023,5,20,1.5696,1.198,90.476
2023,5,21,1.5696,1.199,90.497
2023,5,22,1.5697,1.199,90.517
2023,5,23,1.5697,1.200,90.538
2023,6,0,1.5698,1.200,90.558
2023,6,1,1.5698,1.201,90.579
2023,6,2,1.5699,1.201,90.599
2023,6,3,1.5699,1.202,90.619
2023,6,4,1.5700,1.202,90.640
2023,6,5,1.5700,1.203,90.660
2023,6,6,1.5701,1.203,90.681
2023,6,7,1.5701,1.204,90.701
2023,6,8,1.5702,1.204,90.722
2023,6,9,1.5702,1.205,90.742
2023,6,10,1.5703,1.205,90.763
2023,6,11,1.5703,1.206,90.783
2023,6,12,1.5704,1.206,90.804
2023,6,13,1.5704,1.207,90.824
2023,6,14,1.5705,1.207,90.845
2023,6,15,1.5705,1.208,90.865
2023,6,16,1.5706,1.208,90.885
2023,6,17,1.5706,1.209,90.906
2023,6,18,1.5707,1.209,90.926
2023,6,19,1.5707,1.210,90.947
2023,6,20,1.5708,1.210,90.967
2023,6,21,1.5708,1.211,90.988
2023,6,22,1.5709,1.211,91.008
2023,6,23,1.5709,1.212,91.029
2023,7,0,1.5710,1.212,91.049
2023,7,1,1.5710,1.213,91.070
2023,7,2,1.5711,1.213,91.090
2023,7,3,1.5711,1.214,91.110
2023,7,4,1.5712,1.214,91.131
2023,7,5,1.5712,1.215,91.151
2023,7,6,1.5713,1.215,91.172
2023,7,7,1.5713,1.216,91.192
2023,7,8,1.5714,1.216,91.213
2023,7,9,1.5714,1.217,91.233
2023,7,10,1.5715,1.217,91.253
2023,7,11,1.5715,1.218,91.274
2023,7,12,1.5716,1.218,91.294
2023,7,13,1.5716,1.219,91.315
2023,7,14,1.5717,1.219,91.335
2023,7,15,1.5717,1.220,91.356
2023,7,16,1.5718,1.220,91.376
2023,7,17,1.5718,1.221,91.396
2023,7,18,1.5719,1.221,91.417
2023,7,19,1.5719,1.222,91.437
2023,7,20,1.5720,1.222,91.458
2023,7,21,1.5720,1.223,91.478
2023,7,22,1.5721,1.223,91.498
2023,7,23,1.5721,1.224,91.519
2023,8,0,1.5722,1.224,91.539
2023,8,1,1.5722,1.225,91.560
