YEAR,DAY,HR,RAD_AU,SE_LAT,SE_LON
2023,1,0,0.3085,2.097,66.003
2023,1,1,0.3085,2.127,66.264
2023,1,2,0.3084,2.158,66.525
2023,1,3,0.3084,2.188,66.786
2023,1,4,0.3083,2.218,67.048
2023,1,5,0.3083,2.249,67.309
2023,1,6,0.3082,2.279,67.571
2023,1,7,0.3082,2.310,67.832
2023,1,8,0.3081,2.340,68.094
2023,1,9,0.3081,2.370,68.356
2023,1,10,0.3081,2.400,68.617
2023,1,11,0.3080,2.430,68.879
2023,1,12,0.3080,2.460,69.141
2023,1,13,0.3080,2.491,69.403
2023,1,14,0.3079,2.521,69.666
2023,1,15,0.3079,2.551,69.928
2023,1,16,0.3079,2.580,70.190
2023,1,17,0.3078,2.610,70.452
2023,1,18,0.3078,2.640,70.715
2023,1,19,0.3078,2.670,70.977
2023,1,20,0.3077,2.700,71.240
2023,1,21,0.3077,2.729,71.502
2023,1,22,0.3077,2.759,71.765
2023,1,23,0.3077,2.789,72.028
2023,2,0,0.3076,2.818,72.290
2023,2,1,0.3076,2.848,72.553
2023,2,2,0.3076,2.877,72.816
2023,2,3,0.3076,2.906,73.079
2023,2,4,0.3076,2.936,73.342
2023,2,5,0.3075,2.965,73.605
2023,2,6,0.3075,2.994,73.868
2023,2,7,0.3075,3.023,74.131
2023,2,8,0.3075,3.052,74.394
2023,2,9,0.3075,3.081,74.657
2023,2,10,0.3075,3.110,74.921
2023,2,11,0.3075,3.139,75.184
2023,2,12,0.3074,3.168,75.447
2023,2,13,0.3074,3.197,75.710
2023,2,14,0.3074,3.225,75.974
2023,2,15,0.3074,3.254,76.237
2023,2,16,0.3074,3.282,76.500
2023,2,17,0.3074,3.311,76.764
2023,2,18,0.3074,3.339,77.027
2023,2,19,0.3074,3.368,77.291
2023,2,20,0.3074,3.396,77.554
2023,2,21,0.3074,3.424,77.818
2023,2,22,0.3074,3.452,78.081
2023,2,23,0.3074,3.480,78.345
2023,3,0,0.3074,3.508,78.608
2023,3,1,0.3074,3.536,78.872
2023,3,2,0.3074,3.564,79.135
2023,3,3,0.3074,3.592,79.399
2023,3,4,0.3074,3.619,79.662
2023,3,5,0.3074,3.647,79.926
2023,3,6,0.3075,3.674,80.189
2023,3,7,0.3075,3.702,80.453
2023,3,8,0.3075,3.729,80.716
2023,3,9,0.3075,3.756,80.980
2023,3,10,0.3075,3.784,81.243
2023,3,11,0.3075,3.811,81.507
2023,3,12,0.3075,3.838,81.770
2023,3,13,0.3076,3.865,82.034
2023,3,14,0.3076,3.891,82.297
2023,3,15,0.3076,3.918,82.561
2023,3,16,0.3076,3.945,82.824
2023,3,17,0.3076,3.972,83.088
2023,3,18,0.3077,3.998,83.351
2023,3,19,0.3077,4.024,83.615
2023,3,20,0.3077,4.051,83.878
2023,3,21,0.3077,4.077,84.141
2023,3,22,0.3078,4.103,84.404
2023,3,23,0.3078,4.129,84.668
2023,4,0,0.3078,4.155,84.931
2023,4,1,0.3079,4.181,85.194
2023,4,2,0.3079,4.207,85.457
2023,4,3,0.3079,4.233,85.720
2023,4,4,0.3080,4.258,85.983
2023,4,5,0.3080,4.284,86.247
2023,4,6,0.3080,4.309,86.509
2023,4,7,0.3081,4.334,86.772
2023,4,8,0.3081,4.360,87.035
2023,4,9,0.3082,4.385,87.298
2023,4,10,0.3082,4.410,87.561
2023,4,11,0.3082,4.435,87.824
2023,4,12,0.3083,4.459,88.086
2023,4,13,0.3083,4.484,88.349
2023,4,14,0.3084,4.509,88.612
2023,4,15,0.3084,4.533,88.874
2023,4,16,0.3085,4.558,89.136
2023,4,17,0.3085,4.582,89.399
2023,4,18,0.3086,4.606,89.661
2023,4,19,0.3086,4.630,89.923
2023,4,20,0.3087,4.654,90.186
2023,4,21,0.3087,4.678,90.448
2023,4,22,0.3088,4.702,90.710
2023,4,23,0.3088,4.726,90.972
2023,5,0,0.3089,4.749,91.233
2023,5,1,0.3089,4.773,91.495
2023,5,2,0.3090,4.796,91.757
2023,5,3,0.3091,4.819,92.019
2023,5,4,0.3091,4.842,92.280
2023,5,5,0.3092,4.865,92.542
2023,5,6,0.3092,4.888,92.803
2023,5,7,0.3093,4.911,93.064
2023,5,8,0.3094,4.934,93.325
2023,5,9,0.3094,4.956,93.587
2023,5,10,0.3095,4.979,93.848
2023,5,11,0.3096,5.001,94.108
2023,5,12,0.3096,5.023,94.369
2023,5,13,0.3097,5.046,94.630
2023,5,14,0.3098,5.068,94.891
2023,5,15,0.3099,5.089,95.151
