YEAR,DAY,HR,RAD_AU,SE_LAT,SE_LON
2023,1,0,0.9841,-0.011,100.158
2023,1,1,0.9841,-0.011,100.201
2023,1,2,0.9841,-0.011,100.244
2023,1,3,0.9841,-0.011,100.287
2023,1,4,0.9841,-0.011,100.330
2023,1,5,0.9842,-0.010,100.373
2023,1,6,0.9842,-0.010,100.416
2023,1,7,0.9842,-0.010,100.459
2023,1,8,0.9842,-0.010,100.502
2023,1,9,0.9842,-0.010,100.545
2023,1,10,0.9843,-0.010,100.588
2023,1,11,0.9843,-0.010,100.631
2023,1,12,0.9843,-0.010,100.674
2023,1,13,0.9843,-0.009,100.717
2023,1,14,0.9843,-0.009,100.760
2023,1,15,0.9844,-0.009,100.803
2023,1,16,0.9844,-0.009,100.846
2023,1,17,0.9844,-0.009,100.889
2023,1,18,0.9844,-0.009,100.932
2023,1,19,0.9844,-0.009,100.975
2023,1,20,0.9844,-0.009,101.018
2023,1,21,0.9845,-0.008,101.061
2023,1,22,0.9845,-0.008,101.105
2023,1,23,0.9845,-0.008,101.148
2023,2,0,0.9845,-0.008,101.191
2023,2,1,0.9845,-0.008,101.234
2023,2,2,0.9846,-0.008,101.277
2023,2,3,0.9846,-0.008,101.320
2023,2,4,0.9846,-0.008,101.363
2023,2,5,0.9846,-0.007,101.407
2023,2,6,0.9846,-0.007,101.450
2023,2,7,0.9846,-0.007,101.493
2023,2,8,0.9847,-0.007,101.536
2023,2,9,0.9847,-0.007,101.580
2023,2,10,0.9847,-0.007,101.623
2023,2,11,0.9847,-0.007,101.666
2023,2,12,0.9847,-0.007,101.709
2023,2,13,0.9847,-0.006,101.752
2023,2,14,0.9848,-0.006,101.796
2023,2,15,0.9848,-0.006,101.839
2023,2,16,0.9848,-0.006,101.882
2023,2,17,0.9848,-0.006,101.926
2023,2,18,0.9848,-0.006,101.969
2023,2,19,0.9848,-0.006,102.012
2023,2,20,0.9849,-0.006,102.056
2023,2,21,0.9849,-0.006,102.099
2023,2,22,0.9849,-0.005,102.142
2023,2,23,0.9849,-0.005,102.186
2023,3,0,0.9849,-0.005,102.229
2023,3,1,0.9849,-0.005,102.272
2023,3,2,0.9849,-0.005,102.316
2023,3,3,0.9850,-0.005,102.359
2023,3,4,0.9850,-0.005,102.402
2023,3,5,0.9850,-0.005,102.446
2023,3,6,0.9850,-0.004,102.489
2023,3,7,0.9850,-0.004,102.532
2023,3,8,0.9850,-0.004,102.576
2023,3,9,0.9851,-0.004,102.619
2023,3,10,0.9851,-0.004,102.663
2023,3,11,0.9851,-0.004,102.706
2023,3,12,0.9851,-0.004,102.750
2023,3,13,0.9851,-0.004,102.793
2023,3,14,0.9851,-0.004,102.836
2023,3,15,0.9851,-0.003,102.880
2023,3,16,0.9851,-0.003,102.923
2023,3,17,0.9852,-0.003,102.967
2023,3,18,0.9852,-0.003,103.010
2023,3,19,0.9852,-0.003,103.054
2023,3,20,0.9852,-0.003,103.097
2023,3,21,0.9852,-0.003,103.141
2023,3,22,0.9852,-0.003,103.184
2023,3,23,0.9852,-0.003,103.228
2023,4,0,0.9852,-0.002,103.271
2023,4,1,0.9853,-0.002,103.315
2023,4,2,0.9853,-0.002,103.358
2023,4,3,0.9853,-0.002,103.402
2023,4,4,0.9853,-0.002,103.445
2023,4,5,0.9853,-0.002,103.489
2023,4,6,0.9853,-0.002,103.532
2023,4,7,0.9853,-0.002,103.576
2023,4,8,0.9853,-0.002,103.619
2023,4,9,0.9854,-0.001,103.663
2023,4,10,0.9854,-0.001,103.706
2023,4,11,0.9854,-0.001,103.750
2023,4,12,0.9854,-0.001,103.794
2023,4,13,0.9854,-0.001,103.837
2023,4,14,0.9854,-0.001,103.881
2023,4,15,0.9854,-0.001,103.924
2023,4,16,0.9854,-0.001,103.968
2023,4,17,0.9854,-0.001,104.011
2023,4,18,0.9854,-0.001,104.055
2023,4,19,0.9855,-0.000,104.099
2023,4,20,0.9855,-0.000,104.142
2023,4,21,0.9855,-0.000,104.186
2023,4,22,0.9855,-0.000,104.229
2023,4,23,0.9855,-0.000,104.273
2023,5,0,0.9855,0.000,104.317
2023,5,1,0.9855,0.000,104.360
2023,5,2,0.9855,0.000,104.404
2023,5,3,0.9855,0.000,104.448
