YEAR,DAY,HR,RAD_AU,SE_LAT,SE_LON
2023,1,0,9.8343,-1.328,326.285
2023,1,1,9.8343,-1.328,326.287
2023,1,2,9.8343,-1.328,326.288
2023,1,3,9.8343,-1.328,326.289
2023,1,4,9.8343,-1.328,326.291
2023,1,5,9.8343,-1.329,326.292
2023,1,6,9.8343,-1.329,326.293
2023,1,7,9.8343,-1.329,326.294
2023,1,8,9.8343,-1.329,326.296
2023,1,9,9.8342,-1.329,326.297
2023,1,10,9.8342,-1.329,326.298
2023,1,11,9.8342,-1.329,326.300
2023,1,12,9.8342,-1.329,326.301
2023,1,13,9.8342,-1.329,326.302
2023,1,14,9.8342,-1.329,326.304
2023,1,15,9.8342,-1.329,326.305
2023,1,16,9.8342,-1.329,326.306
2023,1,17,9.8342,-1.329,326.308
2023,1,18,9.8341,-1.329,326.309
2023,1,19,9.8341,-1.329,326.310
2023,1,20,9.8341,-1.329,326.311
2023,1,21,9.8341,-1.329,326.313
2023,1,22,9.8341,-1.329,326.314
2023,1,23,9.8341,-1.329,326.315
2023,2,0,9.8341,-1.329,326.317
2023,2,1,9.8341,-1.329,326.318
2023,2,2,9.8341,-1.330,326.319
2023,2,3,9.8341,-1.330,326.321
2023,2,4,9.8340,-1.330,326.322
2023,2,5,9.8340,-1.330,326.323
2023,2,6,9.8340,-1.330,326.325
2023,2,7,9.8340,-1.330,326.326
2023,2,8,9.8340,-1.330,326.327
2023,2,9,9.8340,-1.330,326.329
2023,2,10,9.8340,-1.330,326.330
2023,2,11,9.8340,-1.330,326.331
2023,2,12,9.8340,-1.330,326.332
2023,2,13,9.8340,-1.330,326.334
2023,2,14,9.8339,-1.330,326.335
2023,2,15,9.8339,-1.330,326.336
2023,2,16,9.8339,-1.330,326.338
2023,2,17,9.8339,-1.330,326.339
2023,2,18,9.8339,-1.330,326.340
2023,2,19,9.8339,-1.330,326.342
2023,2,20,9.8339,-1.330,326.343
2023,2,21,9.8339,-1.330,326.344
2023,2,22,9.8339,-1.330,326.346
2023,2,23,9.8338,-1.331,326.347
2023,3,0,9.8338,-1.331,326.348
2023,3,1,9.8338,-1.331,326.350
2023,3,2,9.8338,-1.331,326.351
2023,3,3,9.8338,-1.331,326.352
2023,3,4,9.8338,-1.331,326.353
2023,3,5,9.8338,-1.331,326.355
2023,3,6,9.8338,-1.331,326.356
2023,3,7,9.8338,-1.331,326.357
2023,3,8,9.8338,-1.331,326.359
2023,3,9,9.8337,-1.331,326.360
2023,3,10,9.8337,-1.331,326.361
2023,3,11,9.8337,-1.331,326.363
2023,3,12,9.8337,-1.331,326.364
2023,3,13,9.8337,-1.331,326.365
2023,3,14,9.8337,-1.331,326.367
2023,3,15,9.8337,-1.331,326.368
2023,3,16,9.8337,-1.331,326.369
2023,3,17,9.8337,-1.331,326.371
2023,3,18,9.8336,-1.331,326.372
2023,3,19,9.8336,-1.331,326.373
2023,3,20,9.8336,-1.332,326.374
2023,3,21,9.8336,-1.332,326.376
2023,3,22,9.8336,-1.332,326.377
2023,3,23,9.8336,-1.332,326.378
2023,4,0,9.8336,-1.332,326.380
2023,4,1,9.8336,-1.332,326.381
2023,4,2,9.8336,-1.332,326.382
2023,4,3,9.8336,-1.332,326.384
2023,4,4,9.8335,-1.332,326.385
2023,4,5,9.8335,-1.332,326.386
2023,4,6,9.8335,-1.332,326.388
2023,4,7,9.8335,-1.332,326.389
2023,4,8,9.8335,-1.332,326.390
2023,4,9,9.8335,-1.332,326.392
2023,4,10,9.8335,-1.332,326.393
2023,4,11,9.8335,-1.332,326.394
2023,4,12,9.8335,-1.332,326.395
2023,4,13,9.8335,-1.332,326.397
2023,4,14,9.8334,-1.332,326.398
2023,4,15,9.8334,-1.332,326.399
2023,4,16,9.8334,-1.333,326.401
2023,4,17,9.8334,-1.333,326.402
2023,4,18,9.8334,-1.333,326.403
2023,4,19,9.8334,-1.333,326.405
2023,4,20,9.8334,-1.333,326.406
2023,4,21,9.8334,-1.333,326.407
2023,4,22,9.8334,-1.333,326.409
2023,4,23,9.8333,-1.333,326.410
2023,5,0,9.8333,-1.333,326.411
2023,5,1,9.8333,-1.333,326.413
2023,5,2,9.8333,-1.333,326.414
2023,5,3,9.8333,-1.333,326.415
2023,5,4,9.8333,-1.333,326.416
2023,5,5,9.8333,-1.333,326.418
2023,5,6,9.8333,-1.333,326.419
2023,5,7,9.8333,-1.333,326.420
2023,5,8,9.8333,-1.333,326.422
2023,5,9,9.8332,-1.333,326.423
2023,5,10,9.8332,-1.333,326.424
2023,5,11,9.8332,-1.333,326.426
2023,5,12,9.8332,-1.333,326.427
2023,5,13,9.8332,-1.334,326.428
2023,5,14,9.8332,-1.334,326.430
2023,5,15,9.8332,-1.334,326.431
2023,5,16,9.8332,-1.334,326.432
2023,5,17,9.8332,-1.334,326.433
2023,5,18,9.8331,-1.334,326.435
2023,5,19,9.8331,-1.334,326.436
2023,5,20,9.8331,-1.334,326.437
2023,5,21,9.8331,-1.334,326.439
2023,5,22,9.8331,-1.334,326.440
2023,5,23,9.8331,-1.334,326.441
2023,6,0,9.8331,-1.334,326.443
2023,6,1,9.8331,-1.334,326.444
2023,6,2,9.8331,-1.334,326.445
2023,6,3,9.8331,-1.334,326.447
2023,6,4,9.8330,-1.334,326.448
2023,6,5,9.8330,-1.334,326.449
2023,6,6,9.8330,-1.334,326.451
2023,6,7,9.8330,-1.334,326.452
2023,6,8,9.8330,-1.334,326.453
2023,6,9,9.8330,-1.334,326.454
2023,6,10,9.8330,-1.335,326.456
2023,6,11,9.8330,-1.335,326.457
2023,6,12,9.8330,-1.335,326.458
2023,6,13,9.8330,-1.335,326.460
2023,6,14,9.8329,-1.335,326.461
2023,6,15,9.8329,-1.335,326.462
2023,6,16,9.8329,-1.335,326.464
2023,6,17,9.8329,-1.335,326.465
2023,6,18,9.8329,-1.335,326.466
2023,6,19,9.8329,-1.335,326.468
2023,6,20,9.8329,-1.335,326.469
2023,6,21,9.8329,-1.335,326.470
2023,6,22,9.8329,-1.335,326.472
2023,6,23,9.8328,-1.335,326.473
2023,7,0,9.8328,-1.335,326.474
2023,7,1,9.8328,-1.335,326.475
2023,7,2,9.8328,-1.335,326.477
2023,7,3,9.8328,-1.335,326.478
2023,7,4,9.8328,-1.335,326.479
2023,7,5,9.8328,-1.335,326.481
2023,7,6,9.8328,-1.335,326.482
2023,7,7,9.8328,-1.336,326.483
2023,7,8,9.8328,-1.336,326.485
2023,7,9,9.8327,-1.336,326.486
2023,7,10,9.8327,-1.336,326.487
2023,7,11,9.8327,-1.336,326.489
2023,7,12,9.8327,-1.336,326.490
2023,7,13,9.8327,-1.336,326.491
2023,7,14,9.8327,-1.336,326.493
2023,7,15,9.8327,-1.336,326.494
2023,7,16,9.8327,-1.336,326.495
2023,7,17,9.8327,-1.336,326.496
2023,7,18,9.8326,-1.336,326.498
2023,7,19,9.8326,-1.336,326.499
2023,7,20,9.8326,-1.336,326.500
2023,7,21,9.8326,-1.336,326.502
2023,7,22,9.8326,-1.336,326.503
2023,7,23,9.8326,-1.336,326.504
2023,8,0,9.8326,-1.336,326.506
2023,8,1,9.8326,-1.336,326.507
2023,8,2,9.8326,-1.336,326.508
2023,8,3,9.8326,-1.337,326.510
2023,8,4,9.8325,-1.337,326.511
2023,8,5,9.8325,-1.337,326.512
2023,8,6,9.8325,-1.337,326.514
2023,8,7,9.8325,-1.337,326.515
2023,8,8,9.8325,-1.337,326.516
2023,8,9,9.8325,-1.337,326.517
2023,8,10,9.8325,-1.337,326.519
2023,8,11,9.8325,-1.337,326.520
2023,8,12,9.8325,-1.337,326.521
2023,8,13,9.8324,-1.337,326.523
2023,8,14,9.8324,-1.337,326.524
2023,8,15,9.8324,-1.337,326.525
2023,8,16,9.8324,-1.337,326.527
2023,8,17,9.8324,-1.337,326.528
2023,8,18,9.8324,-1.337,326.529
2023,8,19,9.8324,-1.337,326.531
2023,8,20,9.8324,-1.337,326.532
2023,8,21,9.8324,-1.337,326.533
2023,8,22,9.8324,-1.337,326.535
2023,8,23,9.8323,-1.337,326.536
2023,9,0,9.8323,-1.338,326.537
