YEAR,DAY,HR,RAD_AU,SE_LAT,SE_LON
2023,1,0,19.6664,-0.354,47.493
2023,1,1,19.6664,-0.354,47.493
2023,1,2,19.6664,-0.354,47.494
2023,1,3,19.6664,-0.354,47.494
2023,1,4,19.6664,-0.354,47.495
2023,1,5,19.6663,-0.354,47.495
2023,1,6,19.6663,-0.354,47.496
2023,1,7,19.6663,-0.354,47.496
2023,1,8,19.6663,-0.354,47.496
2023,1,9,19.6663,-0.354,47.497
2023,1,10,19.6663,-0.354,47.497
2023,1,11,19.6663,-0.354,47.498
2023,1,12,19.6663,-0.354,47.498
2023,1,13,19.6663,-0.354,47.499
2023,1,14,19.6663,-0.354,47.499
2023,1,15,19.6663,-0.354,47.500
2023,1,16,19.6663,-0.354,47.500
2023,1,17,19.6663,-0.354,47.501
2023,1,18,19.6663,-0.354,47.501
2023,1,19,19.6663,-0.354,47.502
2023,1,20,19.6663,-0.354,47.502
2023,1,21,19.6662,-0.354,47.503
2023,1,22,19.6662,-0.354,47.503
2023,1,23,19.6662,-0.354,47.503
2023,2,0,19.6662,-0.354,47.504
2023,2,1,19.6662,-0.354,47.504
2023,2,2,19.6662,-0.354,47.505
2023,2,3,19.6662,-0.354,47.505
2023,2,4,19.6662,-0.354,47.506
2023,2,5,19.6662,-0.354,47.506
2023,2,6,19.6662,-0.354,47.507
2023,2,7,19.6662,-0.354,47.507
2023,2,8,19.6662,-0.354,47.508
2023,2,9,19.6662,-0.354,47.508
2023,2,10,19.6662,-0.354,47.509
2023,2,11,19.6662,-0.354,47.509
2023,2,12,19.6662,-0.354,47.510
2023,2,13,19.6661,-0.354,47.510
2023,2,14,19.6661,-0.354,47.510
2023,2,15,19.6661,-0.354,47.511
2023,2,16,19.6661,-0.354,47.511
2023,2,17,19.6661,-0.354,47.512
2023,2,18,19.6661,-0.354,47.512
2023,2,19,19.6661,-0.354,47.513
2023,2,20,19.6661,-0.354,47.513
2023,2,21,19.6661,-0.354,47.514
2023,2,22,19.6661,-0.354,47.514
2023,2,23,19.6661,-0.354,47.515
2023,3,0,19.6661,-0.354,47.515
2023,3,1,19.6661,-0.354,47.516
2023,3,2,19.6661,-0.354,47.516
2023,3,3,19.6661,-0.354,47.517
2023,3,4,19.6660,-0.354,47.517
2023,3,5,19.6660,-0.354,47.517
2023,3,6,19.6660,-0.354,47.518
2023,3,7,19.6660,-0.354,47.518
2023,3,8,19.6660,-0.354,47.519
2023,3,9,19.6660,-0.354,47.519
2023,3,10,19.6660,-0.354,47.520
2023,3,11,19.6660,-0.354,47.520
2023,3,12,19.6660,-0.354,47.521
2023,3,13,19.6660,-0.354,47.521
2023,3,14,19.6660,-0.354,47.522
2023,3,15,19.6660,-0.354,47.522
2023,3,16,19.6660,-0.354,47.523
2023,3,17,19.6660,-0.354,47.523
2023,3,18,19.6660,-0.354,47.523
2023,3,19,19.6660,-0.354,47.524
2023,3,20,19.6659,-0.354,47.524
2023,3,21,19.6659,-0.354,47.525
2023,3,22,19.6659,-0.354,47.525
2023,3,23,19.6659,-0.354,47.526
2023,4,0,19.6659,-0.353,47.526
2023,4,1,19.6659,-0.353,47.527
2023,4,2,19.6659,-0.353,47.527
2023,4,3,19.6659,-0.353,47.528
2023,4,4,19.6659,-0.353,47.528
2023,4,5,19.6659,-0.353,47.529
2023,4,6,19.6659,-0.353,47.529
2023,4,7,19.6659,-0.353,47.530
2023,4,8,19.6659,-0.353,47.530
2023,4,9,19.6659,-0.353,47.530
2023,4,10,19.6659,-0.353,47.531
2023,4,11,19.6659,-0.353,47.531
2023,4,12,19.6658,-0.353,47.532
2023,4,13,19.6658,-0.353,47.532
2023,4,14,19.6658,-0.353,47.533
2023,4,15,19.6658,-0.353,47.533
2023,4,16,19.6658,-0.353,47.534
2023,4,17,19.6658,-0.353,47.534
2023,4,18,19.6658,-0.353,47.535
2023,4,19,19.6658,-0.353,47.535
2023,4,20,19.6658,-0.353,47.536
2023,4,21,19.6658,-0.353,47.536
2023,4,22,19.6658,-0.353,47.537
2023,4,23,19.6658,-0.353,47.537
2023,5,0,19.6658,-0.353,47.537
2023,5,1,19.6658,-0.353,47.538
2023,5,2,19.6658,-0.353,47.538
2023,5,3,19.6658,-0.353,47.539
2023,5,4,19.6657,-0.353,47.539
2023,5,5,19.6657,-0.353,47.540
2023,5,6,19.6657,-0.353,47.540
2023,5,7,19.6657,-0.353,47.541
2023,5,8,19.6657,-0.353,47.541
2023,5,9,19.6657,-0.353,47.542
2023,5,10,19.6657,-0.353,47.542
2023,5,11,19.6657,-0.353,47.543
2023,5,12,19.6657,-0.353,47.543
2023,5,13,19.6657,-0.353,47.544
2023,5,14,19.6657,-0.353,47.544
2023,5,15,19.6657,-0.353,47.544
2023,5,16,19.6657,-0.353,47.545
2023,5,17,19.6657,-0.353,47.545
2023,5,18,19.6657,-0.353,47.546
2023,5,19,19.6657,-0.353,47.546
2023,5,20,19.6656,-0.353,47.547
2023,5,21,19.6656,-0.353,47.547
2023,5,22,19.6656,-0.353,47.548
2023,5,23,19.6656,-0.353,47.548
2023,6,0,19.6656,-0.353,47.549
2023,6,1,19.6656,-0.353,47.549
2023,6,2,19.6656,-0.353,47.550
2023,6,3,19.6656,-0.353,47.550
2023,6,4,19.6656,-0.353,47.551
2023,6,5,19.6656,-0.353,47.551
2023,6,6,19.6656,-0.353,47.551
2023,6,7,19.6656,-0.353,47.552
2023,6,8,19.6656,-0.353,47.552
2023,6,9,19.6656,-0.353,47.553
2023,6,10,19.6656,-0.353,47.553
2023,6,11,19.6656,-0.353,47.554
2023,6,12,19.6655,-0.353,47.554
2023,6,13,19.6655,-0.353,47.555
2023,6,14,19.6655,-0.353,47.555
2023,6,15,19.6655,-0.353,47.556
2023,6,16,19.6655,-0.353,47.556
2023,6,17,19.6655,-0.353,47.557
2023,6,18,19.6655,-0.353,47.557
2023,6,19,19.6655,-0.353,47.557
2023,6,20,19.6655,-0.353,47.558
2023,6,21,19.6655,-0.353,47.558
2023,6,22,19.6655,-0.353,47.559
2023,6,23,19.6655,-0.353,47.559
2023,7,0,19.6655,-0.353,47.560
2023,7,1,19.6655,-0.353,47.560
2023,7,2,19.6655,-0.353,47.561
2023,7,3,19.6655,-0.353,47.561
2023,7,4,19.6654,-0.353,47.562
2023,7,5,19.6654,-0.353,47.562
2023,7,6,19.6654,-0.353,47.563
2023,7,7,19.6654,-0.353,47.563
2023,7,8,19.6654,-0.353,47.564
2023,7,9,19.6654,-0.353,47.564
2023,7,10,19.6654,-0.353,47.564
2023,7,11,19.6654,-0.353,47.565
2023,7,12,19.6654,-0.353,47.565
2023,7,13,19.6654,-0.353,47.566
2023,7,14,19.6654,-0.353,47.566
2023,7,15,19.6654,-0.353,47.567
2023,7,16,19.6654,-0.353,47.567
2023,7,17,19.6654,-0.353,47.568
2023,7,18,19.6654,-0.353,47.568
2023,7,19,19.6654,-0.353,47.569
2023,7,20,19.6653,-0.353,47.569
2023,7,21,19.6653,-0.353,47.570
2023,7,22,19.6653,-0.353,47.570
2023,7,23,19.6653,-0.353,47.571
2023,8,0,19.6653,-0.353,47.571
2023,8,1,19.6653,-0.353,47.571
2023,8,2,19.6653,-0.353,47.572
2023,8,3,19.6653,-0.353,47.572
2023,8,4,19.6653,-0.353,47.573
2023,8,5,19.6653,-0.353,47.573
2023,8,6,19.6653,-0.353,47.574
2023,8,7,19.6653,-0.353,47.574
2023,8,8,19.6653,-0.353,47.575
2023,8,9,19.6653,-0.353,47.575
2023,8,10,19.6653,-0.353,47.576
2023,8,11,19.6653,-0.353,47.576
2023,8,12,19.6652,-0.353,47.577
2023,8,13,19.6652,-0.353,47.577
2023,8,14,19.6652,-0.353,47.578
2023,8,15,19.6652,-0.353,47.578
2023,8,16,19.6652,-0.353,47.578
2023,8,17,19.6652,-0.353,47.579
2023,8,18,19.6652,-0.353,47.579
2023,8,19,19.6652,-0.353,47.580
2023,8,20,19.6652,-0.353,47.580
2023,8,21,19.6652,-0.353,47.581
2023,8,22,19.6652,-0.353,47.581
2023,8,23,19.6652,-0.353,47.582
2023,9,0,19.6652,-0.353,47.582
2023,9,1,19.6652,-0.353,47.583
2023,9,2,19.6652,-0.353,47.583
2023,9,3,19.6652,-0.353,47.584
2023,9,4,19.6651,-0.353,47.584
2023,9,5,19.6651,-0.353,47.584
2023,9,6,19.6651,-0.353,47.585
2023,9,7,19.6651,-0.353,47.585
2023,9,8,19.6651,-0.353,47.586
2023,9,9,19.6651,-0.353,47.586
2023,9,10,19.6651,-0.353,47.587
2023,9,11,19.6651,-0.353,47.587
2023,9,12,19.6651,-0.353,47.588
2023,9,13,19.6651,-0.353,47.588
2023,9,14,19.6651,-0.353,47.589
2023,9,15,19.6651,-0.353,47.589
2023,9,16,19.6651,-0.353,47.590
2023,9,17,19.6651,-0.353,47.590
2023,9,18,19.6651,-0.353,47.591
2023,9,19,19.6651,-0.353,47.591
2023,9,20,19.6650,-0.353,47.591
2023,9,21,19.6650,-0.353,47.592
2023,9,22,19.6650,-0.353,47.592
2023,9,23,19.6650,-0.353,47.593
2023,10,0,19.6650,-0.353,47.593
2023,10,1,19.6650,-0.353,47.594
2023,10,2,19.6650,-0.353,47.594
2023,10,3,19.6650,-0.353,47.595
2023,10,4,19.6650,-0.353,47.595
2023,10,5,19.6650,-0.353,47.596
2023,10,6,19.6650,-0.353,47.596
2023,10,7,19.6650,-0.353,47.597
2023,10,8,19.6650,-0.353,47.597
2023,10,9,19.6650,-0.353,47.598
2023,10,10,19.6650,-0.353,47.598
2023,10,11,19.6649,-0.353,47.598
2023,10,12,19.6649,-0.353,47.599
2023,10,13,19.6649,-0.353,47.599
2023,10,14,19.6649,-0.353,47.600
2023,10,15,19.6649,-0.353,47.600
2023,10,16,19.6649,-0.353,47.601
2023,10,17,19.6649,-0.353,47.601
2023,10,18,19.6649,-0.353,47.602
2023,10,19,19.6649,-0.353,47.602
2023,10,20,19.6649,-0.353,47.603
2023,10,21,19.6649,-0.353,47.603
2023,10,22,19.6649,-0.353,47.604
2023,10,23,19.6649,-0.353,47.604
2023,11,0,19.6649,-0.353,47.605
2023,11,1,19.6649,-0.353,47.605
2023,11,2,19.6649,-0.353,47.605
2023,11,3,19.6648,-0.353,47.606
2023,11,4,19.6648,-0.353,47.606
2023,11,5,19.6648,-0.353,47.607
2023,11,6,19.6648,-0.353,47.607
2023,11,7,19.6648,-0.353,47.608
2023,11,8,19.6648,-0.353,47.608
2023,11,9,19.6648,-0.353,47.609
2023,11,10,19.6648,-0.353,47.609
2023,11,11,19.6648,-0.353,47.610
2023,11,12,19.6648,-0.352,47.610
2023,11,13,19.6648,-0.352,47.611
2023,11,14,19.6648,-0.352,47.611
2023,11,15,19.6648,-0.352,47.612
2023,11,16,19.6648,-0.352,47.612
2023,11,17,19.6648,-0.352,47.612
2023,11,18,19.6648,-0.352,47.613
2023,11,19,19.6647,-0.352,47.613
2023,11,20,19.6647,-0.352,47.614
2023,11,21,19.6647,-0.352,47.614
2023,11,22,19.6647,-0.352,47.615
2023,11,23,19.6647,-0.352,47.615
2023,12,0,19.6647,-0.352,47.616
2023,12,1,19.6647,-0.352,47.616
2023,12,2,19.6647,-0.352,47.617
2023,12,3,19.6647,-0.352,47.617
2023,12,4,19.6647,-0.352,47.618
2023,12,5,19.6647,-0.352,47.618
2023,12,6,19.6647,-0.352,47.618
2023,12,7,19.6647,-0.352,47.619
2023,12,8,19.6647,-0.352,47.619
2023,12,9,19.6647,-0.352,47.620
2023,12,10,19.6647,-0.352,47.620
2023,12,11,19.6646,-0.352,47.621
2023,12,12,19.6646,-0.352,47.621
2023,12,13,19.6646,-0.352,47.622
2023,12,14,19.6646,-0.352,47.622
2023,12,15,19.6646,-0.352,47.623
2023,12,16,19.6646,-0.352,47.623
2023,12,17,19.6646,-0.352,47.624
2023,12,18,19.6646,-0.352,47.624
2023,12,19,19.6646,-0.352,47.625
2023,12,20,19.6646,-0.352,47.625
2023,12,21,19.6646,-0.352,47.625
2023,12,22,19.6646,-0.352,47.626
2023,12,23,19.6646,-0.352,47.626
2023,13,0,19.6646,-0.352,47.627
2023,13,1,19.6646,-0.352,47.627
2023,13,2,19.6646,-0.352,47.628
2023,13,3,19.6645,-0.352,47.628
2023,13,4,19.6645,-0.352,47.629
2023,13,5,19.6645,-0.352,47.629
2023,13,6,19.6645,-0.352,47.630
2023,13,7,19.6645,-0.352,47.630
2023,13,8,19.6645,-0.352,47.631
2023,13,9,19.6645,-0.352,47.631
2023,13,10,19.6645,-0.352,47.632
2023,13,11,19.6645,-0.352,47.632
2023,13,12,19.6645,-0.352,47.632
2023,13,13,19.6645,-0.352,47.633
2023,13,14,19.6645,-0.352,47.633
2023,13,15,19.6645,-0.352,47.634
2023,13,16,19.6645,-0.352,47.634
2023,13,17,19.6645,-0.352,47.635
2023,13,18,19.6645,-0.352,47.635
2023,13,19,19.6644,-0.352,47.636
2023,13,20,19.6644,-0.352,47.636
2023,13,21,19.6644,-0.352,47.637
2023,13,22,19.6644,-0.352,47.637
2023,13,23,19.6644,-0.352,47.638
2023,14,0,19.6644,-0.352,47.638
2023,14,1,19.6644,-0.352,47.639
2023,14,2,19.6644,-0.352,47.639
2023,14,3,19.6644,-0.352,47.639
2023,14,4,19.6644,-0.352,47.640
2023,14,5,19.6644,-0.352,47.640
2023,14,6,19.6644,-0.352,47.641
2023,14,7,19.6644,-0.352,47.641
2023,14,8,19.6644,-0.352,47.642
2023,14,9,19.6644,-0.352,47.642
2023,14,10,19.6644,-0.352,47.643
2023,14,11,19.6643,-0.352,47.643
2023,14,12,19.6643,-0.352,47.644
2023,14,13,19.6643,-0.352,47.644
2023,14,14,19.6643,-0.352,47.645
2023,14,15,19.6643,-0.352,47.645
2023,14,16,19.6643,-0.352,47.646
2023,14,17,19.6643,-0.352,47.646
2023,14,18,19.6643,-0.352,47.646
2023,14,19,19.6643,-0.352,47.647
2023,14,20,19.6643,-0.352,47.647
2023,14,21,19.6643,-0.352,47.648
2023,14,22,19.6643,-0.352,47.648
2023,14,23,19.6643,-0.352,47.649
2023,15,0,19.6643,-0.352,47.649
2023,15,1,19.6643,-0.352,47.650
2023,15,2,19.6643,-0.352,47.650
2023,15,3,19.6642,-0.352,47.651
2023,15,4,19.6642,-0.352,47.651
2023,15,5,19.6642,-0.352,47.652
2023,15,6,19.6642,-0.352,47.652
2023,15,7,19.6642,-0.352,47.653
2023,15,8,19.6642,-0.352,47.653
2023,15,9,19.6642,-0.352,47.653
2023,15,10,19.6642,-0.352,47.654
2023,15,11,19.6642,-0.352,47.654
2023,15,12,19.6642,-0.352,47.655
2023,15,13,19.6642,-0.352,47.655
2023,15,14,19.6642,-0.352,47.656
2023,15,15,19.6642,-0.352,47.656
2023,15,16,19.6642,-0.352,47.657
2023,15,17,19.6642,-0.352,47.657
2023,15,18,19.6641,-0.352,47.658
2023,15,19,19.6641,-0.352,47.658
2023,15,20,19.6641,-0.352,47.659
2023,15,21,19.6641,-0.352,47.659
2023,15,22,19.6641,-0.352,47.659
2023,15,23,19.6641,-0.352,47.660
2023,16,0,19.6641,-0.352,47.660
2023,16,1,19.6641,-0.352,47.661
2023,16,2,19.6641,-0.352,47.661
