YEAR,DAY,HR,RAD_AU,SE_LAT,SE_LON
2023,1,0,0.7280,-3.046,320.844
2023,1,1,0.7280,-3.047,320.910
2023,1,2,0.7280,-3.049,320.976
2023,1,3,0.7280,-3.051,321.042
2023,1,4,0.7280,-3.052,321.108
2023,1,5,0.7280,-3.054,321.174
2023,1,6,0.7280,-3.056,321.240
2023,1,7,0.7280,-3.058,321.306
2023,1,8,0.7280,-3.059,321.372
2023,1,9,0.7280,-3.061,321.438
2023,1,10,0.7280,-3.063,321.504
2023,1,11,0.7280,-3.064,321.570
2023,1,12,0.7280,-3.066,321.636
2023,1,13,0.7280,-3.068,321.702
2023,1,14,0.7280,-3.069,321.768
2023,1,15,0.7280,-3.071,321.834
2023,1,16,0.7280,-3.073,321.900
2023,1,17,0.7280,-3.074,321.965
2023,1,18,0.7280,-3.076,322.031
2023,1,19,0.7280,-3.078,322.097
2023,1,20,0.7280,-3.079,322.163
2023,1,21,0.7280,-3.081,322.229
2023,1,22,0.7280,-3.082,322.295
2023,1,23,0.7280,-3.084,322.361
2023,2,0,0.7280,-3.086,322.427
2023,2,1,0.7280,-3.087,322.493
2023,2,2,0.7280,-3.089,322.559
2023,2,3,0.7280,-3.091,322.625
2023,2,4,0.7280,-3.092,322.691
2023,2,5,0.7280,-3.094,322.757
2023,2,6,0.7280,-3.095,322.823
2023,2,7,0.7280,-3.097,322.889
2023,2,8,0.7280,-3.099,322.955
2023,2,9,0.7280,-3.100,323.021
2023,2,10,0.7280,-3.102,323.087
2023,2,11,0.7280,-3.103,323.153
2023,2,12,0.7280,-3.105,323.218
2023,2,13,0.7280,-3.107,323.284
2023,2,14,0.7280,-3.108,323.350
2023,2,15,0.7280,-3.110,323.416
2023,2,16,0.7280,-3.111,323.482
2023,2,17,0.7280,-3.113,323.548
2023,2,18,0.7280,-3.114,323.614
2023,2,19,0.7280,-3.116,323.680
2023,2,20,0.7280,-3.117,323.746
2023,2,21,0.7280,-3.119,323.812
2023,2,22,0.7280,-3.120,323.878
2023,2,23,0.7280,-3.122,323.944
2023,3,0,0.7280,-3.124,324.010
2023,3,1,0.7280,-3.125,324.076
2023,3,2,0.7280,-3.127,324.142
2023,3,3,0.7280,-3.128,324.208
2023,3,4,0.7280,-3.130,324.274
2023,3,5,0.7280,-3.131,324.340
2023,3,6,0.7280,-3.133,324.406
2023,3,7,0.7280,-3.134,324.472
2023,3,8,0.7280,-3.136,324.538
2023,3,9,0.7280,-3.137,324.604
2023,3,10,0.7280,-3.139,324.669
2023,3,11,0.7280,-3.140,324.735
2023,3,12,0.7280,-3.142,324.801
2023,3,13,0.7280,-3.143,324.867
2023,3,14,0.7280,-3.144,324.933
2023,3,15,0.7280,-3.146,324.999
2023,3,16,0.7280,-3.147,325.065
